school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
104207,335,,KS2,2015,228,FALSE,,28%,59%,14%,45%,55%,0%,79%,7%,76%,78%,73%,50%,82%,,69%,81%,-12,,84%,83%,85%,79%,83%,73%,75%,76%,,77%,81%,-4,,86%,80%,91%,93%,89%,100%,75%,100%,,85%,100%,-15,,96%,94%,98%,59%,67%,67%,79%,41%,46%,68%,10%,3%,13%,18%,14%,98.1,33%,21%,61%,67%,79%,39%,3%
140747,881,,KS2,2015,228,FALSE,,21%,69%,10%,27%,73%,7%,87%,0%,93%,92%,94%,100%,90%,,88%,95%,-7,,88%,92%,86%,97%,100%,94%,100%,95%,,100%,95%,5,,93%,92%,94%,93%,85%,100%,100%,90%,,88%,95%,-7,,96%,92%,97%,83%,89%,77%,83%,70%,61%,70%,33%,21%,26%,23%,0%,100.8,25%,26%,33%,75%,74%,67%,0%
103244,330,,KS2,2015,227,FALSE,,24%,61%,15%,60%,40%,9%,93%,2%,93%,91%,95%,85%,97%,88%,91%,95%,-4,,88%,89%,87%,96%,97%,95%,92%,97%,100%,94%,100%,-6,,82%,81%,84%,100%,100%,100%,100%,100%,100%,100%,100%,0,,91%,91%,91%,76%,64%,67%,57%,69%,44%,39%,22%,33%,3%,7%,7%,100,69%,69%,75%,31%,31%,25%,2%
107254,380,,KS2,2015,227,FALSE,,22%,63%,16%,9%,91%,3%,97%,3%,94%,100%,89%,71%,100%,,,,,,96%,92%,96%,81%,86%,78%,71%,80%,,,,,,91%,92%,91%,97%,100%,94%,86%,100%,,,,,,98%,100%,98%,78%,87%,88%,97%,59%,70%,90%,19%,23%,24%,34%,9%,99.8,23%,15%,21%,77%,85%,79%,3%
133290,800,,KS2,2015,227,FALSE,,26%,57%,17%,44%,56%,20%,84%,12%,74%,67%,82%,50%,85%,,91%,58%,33,,82%,82%,82%,83%,83%,82%,50%,100%,,73%,92%,-19,,86%,85%,87%,57%,58%,55%,50%,54%,,55%,58%,-3,,76%,74%,79%,44%,59%,48%,54%,44%,39%,36%,4%,11%,4%,11%,16%,98.1,48%,57%,36%,52%,43%,64%,12%
117096,919,,KS2,2015,225,FALSE,,20%,60%,20%,52%,48%,5%,90%,0%,86%,88%,85%,,75%,,82%,90%,-8,,87%,86%,88%,80%,75%,83%,,75%,,82%,78%,4,,85%,91%,81%,95%,88%,100%,,100%,,100%,89%,11,,96%,100%,94%,62%,71%,87%,77%,38%,60%,68%,19%,21%,13%,32%,10%,98.2,33%,47%,18%,67%,53%,82%,0%
100401,206,,KS2,2015,223,FALSE,,11%,83%,6%,75%,25%,100%,80%,5%,100%,100%,100%,,100%,,,,,100%,83%,85%,73%,94%,86%,100%,,100%,,,,,94%,84%,83%,90%,89%,71%,100%,,93%,,,,,89%,92%,91%,100%,80%,60%,45%,65%,70%,35%,58%,10%,0%,0%,15%,10%,99.3,80%,75%,92%,20%,25%,8%,5%
109805,867,,KS2,2015,222,FALSE,,29%,52%,19%,63%,38%,29%,79%,0%,90%,92%,89%,100%,82%,,93%,86%,7,100%,90%,88%,92%,76%,92%,56%,83%,73%,,79%,71%,8,100%,88%,85%,92%,100%,100%,100%,100%,100%,,100%,100%,0,100%,100%,100%,100%,67%,68%,72%,71%,54%,39%,58%,13%,11%,11%,8%,8%,99.1,42%,39%,50%,58%,61%,50%,0%
121144,926,,KS2,2015,222,FALSE,,18%,75%,7%,24%,76%,31%,93%,10%,64%,62%,67%,,71%,,50%,68%,-18,75%,78%,71%,81%,89%,85%,93%,,90%,,100%,86%,14,88%,89%,88%,90%,96%,92%,100%,,95%,,100%,95%,5,88%,94%,88%,97%,59%,67%,64%,67%,45%,52%,57%,24%,22%,16%,7%,7%,99.4,30%,36%,30%,70%,64%,70%,10%
104452,340,,KS2,2015,221,FALSE,,17%,73%,10%,47%,53%,0%,97%,7%,90%,83%,94%,,91%,,79%,100%,-21,,79%,73%,89%,93%,92%,94%,,100%,,86%,100%,-14,,89%,89%,89%,90%,92%,89%,,91%,,86%,94%,-8,,88%,91%,82%,77%,71%,71%,42%,57%,41%,35%,17%,29%,18%,8%,10%,99.9,39%,71%,73%,61%,29%,27%,0%
119221,889,,KS2,2015,221,FALSE,,24%,59%,16%,76%,24%,8%,90%,20%,98%,96%,100%,92%,100%,100%,100%,92%,8,,95%,95%,93%,100%,100%,100%,100%,100%,100%,100%,100%,0,,97%,97%,96%,96%,96%,95%,100%,93%,100%,95%,100%,-5,,92%,91%,96%,80%,65%,68%,77%,72%,54%,69%,14%,7%,5%,8%,2%,100.6,72%,88%,79%,28%,12%,21%,0%
100029,202,,KS2,2015,220,FALSE,,27%,59%,14%,50%,50%,68%,95%,5%,95%,100%,88%,100%,92%,,91%,100%,-9,93%,93%,88%,100%,100%,100%,100%,100%,100%,,100%,100%,0,100%,95%,93%,97%,100%,100%,100%,100%,100%,,100%,100%,0,100%,100%,100%,100%,91%,83%,70%,89%,68%,52%,67%,18%,21%,22%,19%,0%,100.7,48%,70%,44%,52%,30%,56%,5%
140148,861,,KS2,2015,220,FALSE,,29%,39%,32%,25%,75%,4%,96%,4%,93%,92%,94%,88%,100%,89%,86%,95%,-9,,92%,91%,92%,93%,92%,94%,88%,100%,89%,86%,95%,-9,,95%,96%,95%,96%,92%,100%,88%,100%,100%,86%,100%,-14,,95%,91%,97%,89%,86%,81%,89%,89%,58%,78%,29%,45%,13%,26%,4%,101.3,36%,29%,26%,64%,71%,74%,4%
108842,394,,KS2,2015,217,FALSE,,17%,69%,14%,41%,59%,0%,97%,21%,86%,94%,75%,,95%,,92%,82%,10,,91%,97%,87%,93%,88%,100%,,95%,,92%,94%,-2,,92%,90%,93%,97%,94%,100%,,95%,,92%,100%,-8,,99%,97%,100%,69%,68%,76%,64%,62%,57%,54%,10%,20%,10%,21%,3%,99.6,36%,43%,36%,64%,57%,64%,0%
139799,810,,KS2,2015,217,FALSE,,25%,54%,21%,79%,21%,0%,100%,8%,100%,100%,100%,100%,100%,,,,,,100%,100%,100%,96%,100%,94%,100%,100%,,,,,,96%,100%,85%,96%,100%,94%,83%,100%,,,,,,96%,94%,100%,86%,,,76%,82%,,72%,27%,,,24%,0%,101.1,,,68%,,,32%,0%
133893,878,,KS2,2015,217,FALSE,,23%,54%,23%,62%,38%,4%,100%,4%,96%,100%,92%,83%,100%,100%,94%,100%,-6,,88%,82%,100%,92%,100%,83%,83%,93%,100%,88%,100%,-12,,95%,92%,100%,96%,100%,92%,83%,100%,100%,94%,100%,-6,,90%,84%,100%,81%,85%,73%,72%,81%,60%,67%,19%,23%,20%,17%,4%,101,58%,60%,72%,42%,40%,28%,4%
115714,916,,KS2,2015,216,FALSE,,19%,61%,19%,25%,75%,6%,97%,3%,90%,92%,89%,83%,89%,100%,100%,88%,12,,93%,94%,92%,100%,100%,100%,100%,100%,100%,100%,100%,0,,97%,94%,97%,94%,100%,89%,100%,100%,67%,100%,92%,8,,95%,89%,96%,66%,86%,91%,79%,50%,75%,70%,13%,29%,28%,18%,6%,99.6,11%,22%,12%,89%,78%,88%,3%
104295,336,,KS2,2015,214,FALSE,,22%,50%,28%,80%,20%,30%,100%,0%,89%,83%,92%,,89%,,,,,,88%,86%,92%,94%,83%,100%,,100%,,,,,,93%,93%,92%,100%,100%,100%,,100%,,,,,,98%,98%,100%,65%,55%,43%,80%,55%,35%,75%,10%,9%,0%,10%,5%,99.7,59%,74%,75%,41%,26%,25%,0%
105788,354,,KS2,2015,214,FALSE,,17%,76%,7%,63%,37%,10%,90%,3%,90%,94%,83%,,95%,,89%,91%,-2,,82%,76%,89%,79%,82%,75%,,82%,,72%,91%,-19,,76%,68%,86%,100%,100%,100%,,100%,,100%,100%,0,,92%,100%,83%,73%,52%,55%,62%,60%,32%,54%,13%,13%,5%,0%,0%,99.3,61%,64%,38%,39%,36%,62%,3%
111107,896,,KS2,2015,213,FALSE,,27%,60%,13%,19%,81%,3%,94%,0%,100%,100%,100%,100%,100%,,100%,100%,0,,98%,100%,97%,100%,100%,100%,100%,100%,,100%,100%,0,,99%,100%,99%,100%,100%,100%,100%,100%,,100%,100%,0,,99%,89%,100%,94%,76%,87%,79%,81%,77%,75%,29%,24%,20%,25%,3%,101.3,8%,7%,8%,92%,93%,92%,0%
112337,909,,KS2,2015,212,FALSE,,26%,47%,26%,77%,23%,18%,95%,9%,95%,86%,100%,,100%,,,,,,90%,86%,100%,100%,100%,100%,,100%,,,,,,98%,98%,100%,95%,86%,100%,,100%,,,,,,93%,93%,94%,86%,79%,85%,89%,86%,54%,83%,41%,43%,12%,33%,9%,101,50%,77%,50%,50%,23%,50%,9%
100953,211,,KS2,2015,211,FALSE,,31%,38%,31%,55%,45%,48%,100%,0%,93%,92%,94%,78%,100%,100%,88%,100%,-12,100%,87%,80%,100%,86%,83%,88%,78%,100%,78%,88%,85%,3,79%,88%,88%,89%,97%,100%,94%,89%,100%,100%,100%,92%,8,93%,95%,96%,93%,79%,67%,72%,67%,76%,60%,42%,24%,22%,12%,13%,10%,100,74%,92%,50%,26%,8%,50%,0%
119446,888,,KS2,2015,211,FALSE,,19%,70%,11%,61%,39%,7%,93%,0%,96%,92%,100%,,100%,,94%,100%,-6,,96%,94%,100%,93%,100%,86%,,100%,,88%,100%,-12,,93%,90%,100%,96%,100%,93%,,100%,,94%,100%,-6,,97%,96%,100%,86%,70%,65%,79%,71%,47%,79%,11%,5%,18%,21%,0%,100.8,70%,88%,79%,30%,12%,21%,0%
119670,888,,KS2,2015,211,FALSE,,26%,56%,19%,22%,78%,7%,96%,0%,96%,91%,100%,86%,100%,,83%,100%,-17,,96%,91%,97%,100%,100%,100%,100%,100%,,100%,100%,0,,99%,100%,98%,96%,91%,100%,100%,93%,,83%,100%,-17,,93%,91%,93%,81%,86%,79%,78%,78%,63%,78%,19%,3%,21%,17%,0%,100.8,28%,5%,17%,72%,95%,83%,0%
138409,801,,KS2,2015,209,FALSE,,28%,61%,11%,78%,22%,0%,94%,6%,89%,100%,80%,,100%,,,,,,92%,89%,100%,89%,88%,90%,,100%,,,,,,80%,80%,79%,94%,88%,100%,,100%,,,,,,89%,87%,95%,78%,,67%,84%,50%,37%,63%,28%,,10%,16%,6%,100.4,,63%,74%,,37%,26%,6%
108509,391,,KS2,2015,208,FALSE,,21%,74%,5%,80%,20%,20%,80%,0%,100%,,100%,,100%,,,,,,89%,89%,90%,95%,,100%,,100%,,,,,,88%,87%,90%,95%,,100%,,100%,,,,,,90%,89%,95%,80%,60%,59%,69%,60%,33%,66%,20%,20%,7%,24%,0%,100.2,68%,70%,69%,32%,30%,31%,0%
113676,835,,KS2,2015,206,FALSE,,28%,44%,28%,30%,70%,11%,89%,0%,88%,100%,73%,86%,91%,86%,88%,88%,0,,92%,89%,94%,96%,93%,100%,86%,100%,100%,88%,100%,-12,,99%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0,,97%,93%,100%,70%,76%,75%,85%,56%,61%,77%,37%,24%,29%,27%,11%,100.7,31%,32%,42%,69%,68%,58%,0%
105241,350,,KS2,2015,205,FALSE,,21%,69%,10%,48%,52%,24%,100%,3%,90%,94%,83%,67%,95%,,79%,100%,-21,86%,92%,88%,97%,90%,88%,92%,67%,95%,,79%,100%,-21,86%,94%,90%,100%,97%,94%,100%,83%,100%,,93%,100%,-7,86%,96%,95%,97%,83%,76%,81%,77%,66%,71%,73%,21%,12%,24%,27%,3%,100,36%,52%,68%,64%,48%,32%,3%
105932,355,,KS2,2015,204,FALSE,,33%,47%,20%,88%,12%,6%,76%,6%,100%,,100%,,100%,,,,,,93%,95%,86%,87%,,85%,,86%,,,,,,91%,92%,86%,80%,,77%,,71%,,,,,,91%,90%,100%,71%,67%,55%,80%,47%,32%,67%,0%,20%,5%,7%,6%,99.2,80%,91%,73%,20%,9%,27%,0%
103345,330,,KS2,2015,203,FALSE,,21%,68%,11%,53%,47%,10%,83%,0%,93%,92%,94%,83%,95%,,87%,100%,-13,,94%,94%,93%,96%,92%,100%,100%,95%,,93%,100%,-7,,95%,94%,97%,100%,100%,100%,100%,100%,,100%,100%,0,,100%,100%,100%,87%,65%,76%,84%,77%,65%,63%,37%,18%,24%,5%,0%,100.9,41%,53%,53%,59%,47%,47%,0%
121460,815,,KS2,2015,202,FALSE,,27%,60%,13%,20%,80%,0%,93%,7%,93%,89%,100%,75%,100%,,83%,96%,-13,,85%,76%,87%,97%,100%,92%,100%,94%,,100%,96%,4,,89%,82%,91%,100%,100%,100%,100%,100%,,100%,100%,0,,88%,76%,91%,77%,68%,64%,56%,63%,50%,48%,20%,45%,11%,15%,3%,100,5%,18%,22%,95%,82%,78%,3%
115993,850,,KS2,2015,201,FALSE,,17%,79%,4%,17%,83%,0%,96%,0%,75%,78%,73%,,84%,,,,,,91%,93%,91%,96%,100%,93%,,100%,,,,,,96%,100%,96%,92%,100%,87%,,100%,,,,,,94%,86%,96%,75%,84%,80%,89%,63%,70%,63%,8%,24%,13%,19%,8%,99.8,4%,23%,11%,96%,77%,89%,0%
109677,823,,KS2,2015,199,FALSE,,28%,54%,18%,38%,63%,4%,93%,4%,72%,73%,70%,70%,71%,77%,69%,73%,-4,,76%,70%,79%,87%,83%,93%,95%,87%,77%,92%,84%,8,,81%,80%,81%,93%,95%,90%,95%,95%,85%,88%,96%,-8,,83%,80%,84%,57%,63%,56%,72%,39%,38%,55%,8%,10%,7%,8%,4%,98.5,34%,39%,36%,66%,61%,64%,4%
138074,886,,KS2,2015,199,FALSE,,25%,70%,5%,67%,33%,10%,100%,0%,100%,100%,100%,,100%,,100%,100%,0,,92%,94%,89%,100%,100%,100%,,100%,,100%,100%,0,,96%,100%,89%,100%,100%,100%,,100%,,100%,100%,0,,92%,94%,89%,95%,,79%,77%,86%,58%,69%,14%,,26%,15%,5%,100.7,,53%,77%,,47%,23%,0%
105223,350,,KS2,2015,198,FALSE,,24%,64%,12%,59%,41%,22%,96%,4%,92%,92%,92%,,94%,,86%,100%,-14,,85%,86%,83%,92%,85%,100%,83%,94%,,86%,100%,-14,,90%,89%,90%,100%,100%,100%,100%,100%,,100%,100%,0,,97%,100%,93%,78%,73%,63%,69%,59%,53%,44%,15%,10%,17%,16%,4%,100,40%,40%,59%,60%,60%,41%,4%
118651,886,,KS2,2015,198,FALSE,,27%,50%,23%,73%,27%,0%,83%,0%,97%,100%,94%,100%,93%,100%,95%,100%,-5,,99%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0,,100%,100%,100%,97%,100%,94%,100%,93%,100%,95%,100%,-5,,99%,98%,100%,90%,76%,86%,71%,67%,71%,54%,17%,5%,14%,8%,0%,100.2,29%,71%,50%,71%,29%,50%,0%
139800,336,,KS2,2015,197,FALSE,,20%,65%,15%,62%,38%,19%,90%,10%,80%,86%,77%,,77%,,83%,75%,8,,83%,77%,91%,95%,86%,100%,,100%,,92%,100%,-8,,92%,92%,91%,100%,100%,100%,,100%,,100%,100%,0,,96%,92%,100%,71%,,,75%,48%,,61%,19%,,,11%,5%,99.3,,,50%,,,50%,0%
109244,801,,KS2,2015,197,FALSE,,33%,42%,25%,29%,71%,39%,82%,0%,83%,69%,100%,75%,90%,83%,75%,88%,-13,78%,84%,85%,84%,83%,77%,91%,75%,80%,100%,75%,88%,-13,78%,81%,81%,81%,96%,92%,100%,88%,100%,100%,88%,100%,-12,100%,94%,96%,92%,71%,82%,69%,68%,64%,63%,40%,29%,27%,19%,16%,7%,99.9,27%,63%,32%,73%,38%,68%,0%
114925,881,,KS2,2015,197,FALSE,,31%,45%,24%,17%,83%,0%,100%,0%,100%,100%,100%,100%,100%,100%,,,,,95%,100%,94%,93%,92%,94%,78%,100%,100%,,,,,94%,100%,93%,100%,100%,100%,100%,100%,100%,,,,,94%,100%,93%,80%,67%,76%,79%,67%,70%,73%,30%,22%,21%,24%,3%,100.6,15%,12%,12%,85%,88%,88%,0%
106246,357,,KS2,2015,196,FALSE,,21%,71%,8%,46%,54%,33%,100%,0%,100%,100%,100%,,100%,,100%,100%,0,100%,89%,82%,97%,96%,94%,100%,,100%,,91%,100%,-9,100%,86%,79%,92%,92%,88%,100%,,94%,,82%,100%,-18,88%,92%,92%,92%,83%,71%,61%,82%,58%,29%,75%,13%,5%,11%,4%,0%,100.8,57%,54%,46%,43%,46%,54%,0%
114183,841,,KS2,2015,196,FALSE,,21%,63%,17%,54%,46%,0%,88%,0%,96%,100%,93%,,100%,,92%,100%,-8,,97%,98%,95%,100%,100%,100%,,100%,,100%,100%,0,,98%,100%,95%,100%,100%,100%,,100%,,100%,100%,0,,100%,100%,100%,92%,90%,90%,89%,92%,76%,89%,29%,14%,14%,16%,4%,102.3,76%,71%,79%,24%,29%,21%,0%
119304,888,,KS2,2015,196,FALSE,,38%,23%,38%,44%,56%,19%,75%,19%,100%,100%,100%,,,,100%,100%,0,,76%,77%,75%,100%,100%,100%,,,,100%,100%,0,,74%,73%,75%,100%,100%,100%,,,,100%,100%,0,,93%,93%,93%,88%,45%,76%,52%,75%,35%,38%,25%,9%,0%,7%,6%,100.2,45%,53%,52%,55%,47%,48%,13%
111260,896,,KS2,2015,196,FALSE,,21%,65%,15%,3%,97%,0%,82%,0%,100%,100%,100%,100%,100%,,,,,,97%,100%,97%,100%,100%,100%,100%,100%,,,,,,98%,100%,98%,100%,100%,100%,100%,100%,,,,,,94%,100%,93%,88%,63%,76%,84%,88%,72%,81%,35%,16%,28%,35%,0%,102.4,21%,3%,13%,79%,97%,87%,0%
121382,815,,KS2,2015,195,FALSE,,23%,60%,17%,19%,81%,13%,88%,9%,97%,92%,100%,86%,100%,,100%,96%,4,,98%,100%,97%,93%,92%,94%,86%,94%,,67%,100%,-33,,94%,87%,96%,100%,100%,100%,100%,100%,,100%,100%,0,,95%,80%,99%,78%,81%,78%,86%,66%,72%,71%,25%,19%,31%,29%,9%,100,19%,22%,10%,81%,78%,90%,3%
140668,881,,KS2,2015,195,FALSE,,22%,71%,7%,47%,53%,11%,100%,2%,82%,80%,84%,60%,91%,,82%,83%,-1,,82%,82%,83%,82%,85%,80%,70%,88%,,82%,83%,-1,,82%,82%,83%,91%,95%,88%,80%,94%,,91%,91%,0,,91%,91%,91%,66%,,,,45%,,,9%,,,,9%,98.4,,,,,,,2%
100813,210,,KS2,2015,194,FALSE,,25%,55%,20%,73%,27%,55%,86%,0%,70%,55%,89%,,82%,,,,,70%,77%,73%,89%,70%,64%,78%,,73%,,,,,80%,71%,61%,94%,90%,82%,100%,,91%,,,,,80%,90%,91%,89%,73%,65%,47%,60%,64%,37%,52%,5%,15%,16%,12%,18%,98.6,70%,74%,68%,30%,26%,32%,0%
137659,878,,KS2,2015,194,FALSE,,35%,43%,22%,35%,65%,0%,96%,0%,100%,100%,100%,100%,100%,,100%,100%,0,,97%,91%,100%,100%,100%,100%,100%,100%,,100%,100%,0,,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,0,,97%,100%,95%,78%,63%,60%,78%,70%,40%,70%,22%,11%,7%,13%,0%,100.3,21%,33%,39%,79%,67%,61%,0%
119486,888,,KS2,2015,194,FALSE,,14%,67%,19%,45%,55%,0%,91%,0%,86%,85%,88%,,93%,,78%,92%,-14,,93%,86%,98%,90%,100%,75%,,86%,,78%,100%,-22,,89%,79%,96%,100%,100%,100%,,100%,,100%,100%,0,,93%,86%,98%,77%,52%,75%,86%,68%,64%,76%,18%,14%,11%,21%,5%,99.7,29%,32%,41%,71%,68%,59%,0%
122674,891,,KS2,2015,191,FALSE,,21%,68%,11%,53%,47%,0%,89%,5%,89%,100%,85%,,100%,,100%,78%,22,,91%,93%,89%,89%,83%,92%,,92%,,100%,78%,22,,92%,93%,91%,95%,100%,92%,,100%,,100%,89%,11,,86%,76%,91%,79%,71%,63%,73%,53%,63%,53%,11%,0%,11%,3%,5%,99.4,29%,26%,40%,71%,74%,60%,0%
121358,815,,KS2,2015,190,FALSE,,23%,68%,10%,16%,84%,0%,87%,0%,100%,100%,100%,100%,100%,,,,,,89%,100%,87%,97%,94%,100%,86%,100%,,,,,,96%,100%,95%,100%,100%,100%,100%,100%,,,,,,100%,100%,100%,87%,65%,73%,63%,77%,54%,42%,10%,17%,12%,11%,3%,100.6,17%,15%,21%,83%,85%,79%,0%
115899,850,,KS2,2015,188,FALSE,,13%,78%,9%,40%,60%,0%,92%,0%,91%,92%,91%,,100%,,80%,100%,-20,,91%,83%,95%,91%,83%,100%,,94%,,80%,100%,-20,,93%,87%,98%,96%,92%,100%,,100%,,90%,100%,-10,,81%,77%,84%,84%,75%,61%,68%,68%,54%,68%,4%,17%,14%,4%,4%,99.8,29%,32%,48%,71%,68%,52%,0%
105663,353,,KS2,2015,187,FALSE,,11%,79%,11%,47%,53%,0%,79%,0%,95%,100%,88%,,100%,,89%,100%,-11,,96%,92%,100%,89%,91%,88%,,93%,,89%,90%,-1,,96%,96%,97%,100%,100%,100%,,100%,,100%,100%,0,,100%,100%,100%,89%,100%,95%,75%,79%,80%,69%,16%,10%,35%,25%,5%,100.1,55%,55%,31%,45%,45%,69%,0%
118602,886,,KS2,2015,187,FALSE,,19%,72%,9%,28%,72%,13%,94%,3%,97%,100%,91%,100%,96%,,89%,100%,-11,,93%,92%,93%,100%,100%,100%,100%,100%,,100%,100%,0,,96%,92%,98%,100%,100%,100%,100%,100%,,100%,100%,0,,96%,92%,98%,81%,85%,80%,78%,72%,60%,70%,9%,15%,32%,26%,3%,99.9,27%,24%,37%,73%,76%,63%,3%
120387,925,,KS2,2015,187,FALSE,,21%,71%,8%,64%,36%,12%,76%,0%,96%,91%,100%,,100%,,93%,100%,-7,,98%,97%,100%,88%,91%,85%,,94%,,87%,89%,-2,,96%,94%,97%,96%,91%,100%,,100%,,93%,100%,-7,,99%,97%,100%,84%,92%,86%,92%,72%,81%,73%,20%,31%,29%,42%,0%,101.2,35%,38%,35%,65%,62%,65%,0%
110324,825,,KS2,2015,182,FALSE,,14%,86%,0%,57%,43%,67%,76%,10%,71%,92%,38%,,78%,,58%,89%,-31,71%,71%,58%,89%,67%,77%,50%,,72%,,42%,100%,-58,79%,67%,42%,100%,71%,85%,50%,,72%,,58%,89%,-31,79%,71%,58%,89%,62%,,,0%,38%,,0%,0%,,,0%,19%,97.9,,,0%,,,0%,5%
114716,881,,KS2,2015,180,FALSE,,28%,59%,13%,55%,45%,10%,81%,0%,92%,87%,100%,82%,96%,,96%,88%,8,,91%,92%,89%,100%,100%,100%,100%,100%,,100%,100%,0,,88%,91%,84%,97%,100%,94%,91%,100%,,96%,100%,-4,,91%,92%,89%,81%,55%,57%,77%,57%,43%,51%,12%,5%,0%,8%,5%,99.9,35%,70%,38%,65%,30%,62%,0%
134507,208,,KS2,2015,174,FALSE,,13%,79%,8%,84%,16%,100%,96%,16%,92%,93%,90%,,100%,,,,,92%,94%,93%,100%,92%,93%,90%,,100%,,,,,92%,97%,97%,100%,92%,93%,90%,,100%,,,,,92%,93%,92%,100%,92%,52%,83%,88%,84%,67%,80%,28%,4%,29%,16%,8%,100.9,88%,79%,92%,12%,21%,8%,8%
138213,394,,KS2,2015,174,FALSE,,26%,58%,16%,21%,79%,0%,95%,0%,84%,75%,100%,,100%,,,,,,92%,95%,90%,84%,83%,86%,,91%,,,,,,88%,95%,85%,84%,83%,86%,,91%,,,,,,90%,80%,95%,68%,71%,72%,69%,63%,44%,50%,11%,0%,16%,6%,21%,99,29%,36%,44%,71%,64%,56%,0%
107867,383,,KS2,2015,170,FALSE,,22%,63%,15%,14%,86%,0%,100%,18%,100%,100%,100%,100%,100%,,,,,,92%,56%,97%,93%,90%,94%,67%,100%,,,,,,96%,78%,99%,93%,90%,94%,67%,100%,,,,,,97%,89%,99%,82%,67%,86%,71%,68%,67%,57%,18%,8%,14%,25%,7%,99.8,38%,10%,11%,63%,90%,89%,7%
124760,935,,KS2,2015,170,FALSE,,23%,68%,10%,30%,70%,12%,79%,15%,74%,50%,100%,29%,86%,,89%,68%,21,,78%,72%,81%,97%,94%,100%,100%,95%,,100%,95%,5,,94%,100%,91%,100%,100%,100%,100%,100%,,100%,100%,0,,91%,88%,93%,70%,79%,70%,81%,52%,48%,58%,18%,21%,11%,12%,12%,98.9,0%,33%,27%,100%,67%,73%,3%
108366,390,,KS2,2015,169,FALSE,,17%,70%,13%,43%,57%,4%,96%,0%,91%,93%,89%,,88%,,90%,92%,-2,,88%,81%,94%,96%,93%,100%,,94%,,100%,92%,8,,92%,86%,97%,100%,100%,100%,,100%,,100%,100%,0,,98%,95%,100%,91%,76%,81%,85%,61%,69%,31%,30%,18%,38%,23%,0%,100.8,18%,31%,46%,82%,69%,54%,0%
