school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
109746,823,,KS2,2015,167,TRUE,,100%,0%,0%,56%,44%,0%,94%,,0%,0%,,0%,,,0%,0%,0,,3%,5%,0%,0%,0%,,0%,,,0%,0%,0,,3%,0%,5%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.6,15%,33%,53%,85%,67%,47%,
101102,212,,KS2,2015,162,TRUE,,100%,0%,0%,82%,18%,18%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,9%,11%,,11%,,,,,,,4%,5%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.4,57%,83%,73%,43%,17%,27%,
132233,333,,KS2,2015,161,TRUE,,100%,0%,0%,83%,17%,17%,83%,,0%,0%,,,,,,,,,0%,,,0%,0%,,,,,,,,,9%,,,0%,0%,,,,,,,,,9%,,,0%,,,,0%,,,0%,,,,100%,,,,,,,,
137469,822,,KS2,2015,157,TRUE,,100%,0%,0%,63%,38%,38%,75%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.6,56%,33%,36%,44%,67%,64%,
135573,892,,KS2,2015,156,TRUE,,100%,0%,0%,25%,75%,25%,75%,,0%,0%,,,,,,,,,0%,0%,0%,0%,0%,,,,,,,,,0%,0%,0%,0%,0%,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,,71%,55%,43%,29%,45%,57%,
109745,821,,KS2,2015,146,TRUE,,100%,0%,0%,27%,73%,67%,100%,,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.4,45%,67%,14%,55%,33%,86%,
119052,887,,KS2,2015,144,TRUE,,100%,0%,0%,70%,30%,10%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,90.8,44%,78%,,56%,22%,,
102556,313,,KS2,2015,143,TRUE,,100%,0%,0%,43%,57%,57%,100%,,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90,61%,21%,55%,39%,79%,45%,
140325,851,,KS2,2015,143,TRUE,,100%,0%,0%,58%,42%,8%,83%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,90.7,83%,56%,,17%,44%,,
134272,874,,KS2,2015,143,TRUE,,100%,0%,0%,29%,71%,86%,100%,,0%,,,,,,,,,0%,0%,0%,0%,0%,,,,,,,,,0%,0%,0%,0%,0%,,,,,,,,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,,33%,,50%,67%,,50%,
119057,886,,KS2,2015,143,TRUE,,100%,0%,0%,42%,58%,0%,92%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.2,38%,50%,67%,62%,50%,33%,
138219,881,,KS2,2015,142,TRUE,,100%,0%,0%,43%,57%,14%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,0%,,0%,0%,,,0%,100%,92.4,,,50%,,,50%,
130899,317,,KS2,2015,141,TRUE,,100%,0%,0%,71%,29%,71%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,92.1,17%,,57%,83%,,43%,
113633,878,,KS2,2015,140,TRUE,,100%,0%,0%,71%,29%,0%,43%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,4%,0%,8%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.9,13%,56%,13%,88%,44%,88%,
132232,333,,KS2,2015,139,TRUE,,100%,0%,0%,50%,50%,50%,100%,,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,95%,90,58%,57%,82%,42%,43%,18%,
134972,873,,KS2,2015,138,TRUE,,100%,0%,0%,14%,86%,14%,86%,,0%,,,0%,,,,,,,0%,0%,0%,14%,,,14%,,,,,,,4%,0%,6%,14%,,,14%,,,,,,,4%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.4,43%,29%,36%,57%,71%,64%,
103880,332,,KS2,2015,136,TRUE,,100%,0%,0%,38%,63%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.2,67%,43%,60%,33%,57%,40%,
122955,891,,KS2,2015,136,TRUE,,100%,0%,0%,50%,50%,0%,75%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,3%,0%,5%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,33%,17%,36%,67%,83%,64%,
101966,307,,KS2,2015,134,TRUE,,100%,0%,0%,32%,68%,74%,84%,,16%,17%,14%,20%,,,17%,15%,2,14%,18%,16%,21%,5%,8%,0%,7%,,,0%,8%,-8,7%,8%,4%,12%,5%,8%,0%,7%,,,0%,8%,-8,7%,4%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.9,56%,60%,64%,44%,40%,36%,
104983,343,,KS2,2015,133,TRUE,,100%,0%,0%,43%,57%,0%,86%,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,,0%,,,0%,0%,,,100%,92.1,25%,,,75%,,,
103618,330,,KS2,2015,132,TRUE,,100%,0%,0%,67%,33%,67%,83%,,0%,,,,,,,,,,5%,0%,13%,0%,,,,,,,,,,9%,7%,13%,0%,,,,,,,,,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,,73%,67%,,27%,33%,,
104750,341,,KS2,2015,131,TRUE,,100%,0%,0%,77%,23%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.8,71%,83%,64%,29%,17%,36%,
110592,826,,KS2,2015,130,TRUE,,100%,0%,0%,44%,56%,11%,100%,,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,,,0%,,,0%,,,,100%,91.2,,,,,,,
116642,850,,KS2,2015,130,TRUE,,100%,0%,0%,15%,85%,8%,100%,,23%,30%,,27%,,,,,,,9%,18%,6%,15%,20%,,18%,,,,,,,5%,9%,3%,8%,10%,,9%,,,,,,,2%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.9,23%,27%,33%,77%,73%,67%,
115475,881,,KS2,2015,129,TRUE,,100%,0%,0%,83%,17%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,92.1,29%,,,71%,,,
139722,319,,KS2,2015,127,TRUE,,100%,0%,0%,86%,14%,14%,100%,,71%,,,83%,,,,,,,58%,,,83%,,,83%,,,,,,,64%,,,71%,,,83%,,,,,,,67%,,,0%,,,0%,0%,,0%,0%,,,0%,100%,98.6,,,100%,,,0%,
