local_authority_id,result_type,result_year,total_pupils,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_not_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
331,KS2,2015,31691,21%,58%,21%,37%,63%,30%,92%,8%,89%,89%,89%,75%,92%,94%,87%,90%,-3,91%,89%,86%,90%,91%,90%,92%,79%,95%,92%,89%,92%,-3,91%,90%,88%,91%,95%,94%,96%,88%,97%,96%,93%,95%,-2,95%,94%,92%,95%,78%,70%,71%,76%,65%,58%,65%,22%,16%,18%,21%,7%,35%,37%,37%,65%,63%,63%,3%
332,KS2,2015,28388,17%,58%,25%,32%,68%,13%,94%,7%,90%,91%,89%,73%,93%,94%,87%,91%,-4,91%,89%,85%,90%,90%,90%,90%,74%,95%,91%,87%,91%,-4,90%,89%,86%,90%,95%,94%,97%,85%,97%,98%,92%,96%,-4,93%,94%,92%,95%,80%,72%,74%,78%,68%,59%,65%,23%,19%,20%,23%,6%,28%,32%,32%,72%,68%,68%,3%
333,KS2,2015,32013,22%,59%,19%,43%,57%,29%,93%,6%,92%,92%,92%,83%,96%,93%,90%,94%,-4,94%,91%,89%,93%,92%,91%,92%,84%,95%,90%,90%,93%,-3,93%,91%,89%,92%,95%,94%,97%,92%,96%,97%,94%,96%,-2,96%,94%,93%,96%,80%,74%,73%,78%,67%,59%,64%,21%,17%,17%,20%,6%,40%,43%,43%,60%,57%,57%,3%
334,KS2,2015,18100,11%,52%,37%,25%,75%,7%,95%,5%,88%,90%,87%,68%,90%,92%,83%,90%,-7,92%,89%,83%,91%,91%,90%,92%,73%,94%,92%,87%,92%,-5,92%,90%,88%,91%,93%,92%,94%,81%,94%,96%,89%,94%,-5,94%,93%,89%,94%,83%,79%,83%,80%,74%,72%,71%,31%,25%,26%,29%,4%,22%,24%,24%,78%,76%,76%,4%
335,KS2,2015,26149,18%,61%,21%,42%,58%,24%,93%,6%,86%,87%,86%,70%,89%,91%,82%,89%,-7,86%,86%,81%,89%,89%,88%,90%,73%,93%,92%,86%,91%,-5,87%,89%,84%,92%,95%,94%,96%,88%,96%,97%,94%,96%,-2,95%,92%,90%,94%,76%,70%,71%,73%,61%,58%,59%,18%,15%,16%,17%,6%,39%,40%,40%,61%,60%,60%,3%
336,KS2,2015,23516,22%,59%,19%,45%,55%,25%,92%,4%,91%,90%,91%,79%,94%,94%,89%,92%,-3,93%,90%,87%,92%,91%,90%,93%,79%,96%,92%,89%,93%,-4,93%,90%,88%,92%,95%,93%,96%,87%,96%,98%,92%,96%,-4,96%,94%,92%,95%,80%,74%,74%,79%,68%,61%,67%,23%,19%,18%,21%,7%,41%,44%,44%,59%,56%,56%,3%
340,KS2,2015,14155,23%,59%,18%,48%,52%,2%,94%,12%,93%,94%,93%,87%,95%,95%,92%,94%,-2,100%,92%,90%,94%,94%,94%,94%,88%,96%,93%,92%,95%,-3,100%,92%,90%,93%,96%,96%,97%,92%,98%,96%,95%,97%,-2,100%,95%,93%,96%,80%,76%,76%,77%,68%,63%,63%,19%,19%,17%,19%,6%,47%,47%,47%,53%,53%,53%,4%
341,KS2,2015,36237,19%,58%,23%,46%,54%,11%,93%,4%,90%,90%,91%,79%,94%,93%,88%,92%,-4,93%,89%,87%,91%,91%,91%,91%,82%,95%,90%,89%,93%,-4,91%,89%,88%,91%,94%,92%,96%,87%,96%,97%,92%,96%,-4,96%,93%,91%,94%,80%,73%,75%,76%,71%,61%,65%,24%,19%,19%,22%,6%,46%,48%,48%,54%,52%,52%,2%
342,KS2,2015,15388,15%,62%,23%,36%,64%,2%,94%,4%,93%,94%,92%,81%,95%,95%,89%,95%,-6,100%,93%,90%,94%,93%,93%,92%,85%,96%,91%,90%,94%,-4,97%,92%,90%,93%,95%,95%,96%,92%,97%,95%,94%,96%,-2,100%,95%,94%,96%,83%,81%,80%,84%,73%,68%,72%,24%,22%,24%,24%,4%,35%,35%,35%,65%,65%,65%,1%
343,KS2,2015,21667,18%,60%,22%,30%,70%,3%,94%,4%,91%,93%,90%,80%,94%,95%,86%,94%,-8,94%,92%,87%,94%,93%,92%,94%,83%,96%,94%,90%,94%,-4,97%,92%,89%,93%,94%,93%,96%,86%,96%,98%,91%,95%,-4,97%,94%,90%,95%,81%,76%,78%,80%,72%,68%,71%,25%,21%,21%,23%,5%,28%,27%,27%,72%,73%,73%,3%
344,KS2,2015,26590,19%,59%,22%,36%,64%,3%,94%,6%,91%,92%,90%,81%,93%,94%,89%,92%,-3,94%,91%,88%,92%,93%,93%,93%,84%,96%,94%,91%,95%,-4,94%,92%,90%,94%,95%,95%,96%,89%,97%,98%,93%,97%,-4,97%,95%,92%,96%,79%,74%,76%,78%,68%,64%,67%,23%,20%,21%,24%,5%,35%,36%,36%,65%,64%,64%,3%
350,KS2,2015,29282,19%,61%,21%,39%,61%,26%,94%,5%,93%,94%,93%,81%,96%,97%,90%,95%,-5,95%,93%,89%,95%,93%,93%,94%,82%,97%,93%,90%,95%,-5,93%,92%,89%,94%,96%,95%,98%,90%,98%,99%,95%,97%,-2,96%,97%,95%,98%,82%,78%,79%,81%,70%,66%,70%,25%,21%,23%,25%,6%,34%,35%,35%,66%,65%,65%,3%
351,KS2,2015,17453,17%,61%,22%,28%,72%,16%,94%,7%,91%,91%,90%,78%,93%,95%,86%,92%,-6,89%,90%,86%,92%,92%,91%,92%,79%,94%,94%,88%,93%,-5,91%,90%,88%,91%,94%,93%,95%,89%,94%,96%,90%,95%,-5,92%,92%,89%,93%,79%,75%,76%,79%,69%,64%,67%,20%,19%,19%,19%,7%,26%,28%,28%,74%,72%,72%,4%
352,KS2,2015,51701,22%,61%,16%,55%,45%,38%,91%,5%,93%,92%,93%,83%,96%,95%,91%,95%,-4,92%,92%,90%,94%,92%,91%,93%,82%,96%,93%,90%,94%,-4,91%,91%,89%,93%,94%,92%,96%,87%,97%,96%,93%,96%,-3,95%,94%,92%,95%,80%,73%,75%,79%,70%,61%,66%,21%,17%,19%,20%,7%,55%,56%,56%,45%,44%,44%,3%
353,KS2,2015,24060,20%,62%,18%,38%,62%,35%,94%,5%,92%,92%,92%,82%,94%,96%,90%,93%,-3,92%,92%,90%,93%,92%,92%,93%,83%,96%,92%,90%,94%,-4,92%,92%,89%,93%,96%,95%,97%,90%,98%,98%,94%,97%,-3,95%,94%,93%,96%,80%,75%,77%,80%,68%,62%,68%,22%,16%,19%,21%,6%,38%,37%,37%,62%,63%,63%,3%
354,KS2,2015,21103,22%,63%,15%,40%,60%,26%,94%,5%,92%,92%,92%,80%,95%,97%,89%,94%,-5,92%,92%,88%,94%,93%,91%,94%,81%,96%,94%,90%,94%,-4,93%,91%,88%,93%,96%,95%,97%,91%,97%,99%,94%,97%,-3,97%,94%,92%,95%,79%,71%,75%,77%,67%,62%,67%,21%,16%,17%,21%,6%,40%,38%,38%,60%,62%,62%,4%
355,KS2,2015,22416,18%,60%,22%,46%,54%,13%,93%,9%,92%,92%,93%,79%,95%,95%,89%,95%,-6,95%,91%,88%,93%,92%,91%,93%,81%,95%,92%,89%,95%,-6,91%,91%,88%,93%,96%,95%,97%,88%,98%,97%,94%,97%,-3,98%,94%,92%,95%,83%,73%,76%,79%,71%,64%,66%,22%,17%,20%,21%,5%,43%,42%,42%,57%,58%,58%,3%
356,KS2,2015,23728,15%,58%,27%,25%,75%,8%,95%,6%,91%,92%,90%,79%,93%,94%,88%,92%,-4,93%,91%,87%,92%,93%,92%,94%,80%,96%,94%,90%,94%,-4,93%,91%,88%,93%,95%,94%,96%,87%,96%,98%,92%,96%,-4,94%,94%,89%,95%,82%,79%,78%,80%,73%,68%,70%,27%,25%,24%,25%,5%,22%,23%,23%,78%,77%,77%,4%
357,KS2,2015,21852,18%,60%,21%,37%,63%,13%,94%,5%,92%,92%,93%,82%,94%,95%,91%,93%,-2,92%,91%,88%,93%,91%,90%,93%,81%,94%,93%,89%,92%,-3,92%,90%,87%,92%,94%,92%,96%,87%,95%,97%,91%,95%,-4,91%,93%,91%,95%,80%,76%,74%,80%,69%,60%,68%,22%,19%,19%,22%,5%,35%,36%,36%,65%,64%,64%,2%
358,KS2,2015,20329,13%,54%,33%,22%,78%,16%,94%,8%,93%,93%,93%,76%,95%,96%,88%,94%,-6,96%,93%,88%,95%,94%,93%,95%,81%,96%,96%,91%,95%,-4,95%,94%,90%,95%,96%,94%,97%,87%,97%,97%,94%,96%,-2,96%,95%,93%,96%,86%,81%,83%,87%,78%,74%,79%,34%,29%,30%,35%,4%,22%,23%,23%,78%,77%,77%,4%
359,KS2,2015,27249,18%,61%,21%,31%,69%,3%,95%,8%,94%,94%,94%,84%,97%,95%,92%,95%,-3,95%,93%,90%,94%,94%,93%,95%,87%,97%,93%,93%,94%,-1,97%,93%,91%,94%,96%,95%,98%,90%,98%,98%,94%,97%,-3,96%,95%,93%,96%,84%,79%,80%,82%,74%,68%,70%,26%,21%,24%,25%,4%,29%,31%,31%,71%,69%,69%,3%
370,KS2,2015,22257,20%,60%,20%,38%,62%,4%,93%,6%,90%,91%,90%,79%,94%,92%,87%,92%,-5,94%,89%,85%,91%,92%,90%,93%,81%,95%,92%,89%,94%,-5,92%,90%,87%,92%,95%,93%,98%,90%,97%,98%,94%,97%,-3,97%,94%,91%,95%,79%,73%,72%,76%,68%,58%,64%,19%,18%,16%,20%,7%,35%,39%,39%,65%,61%,61%,4%
371,KS2,2015,26409,20%,59%,21%,40%,60%,8%,93%,3%,85%,86%,84%,69%,89%,91%,82%,88%,-6,86%,86%,83%,89%,87%,85%,90%,76%,92%,87%,84%,90%,-6,85%,87%,84%,89%,93%,92%,95%,89%,95%,94%,92%,94%,-2,95%,92%,91%,93%,74%,73%,73%,74%,59%,59%,61%,19%,16%,16%,18%,8%,34%,37%,37%,66%,63%,63%,3%
372,KS2,2015,22057,19%,56%,25%,37%,63%,9%,94%,6%,91%,91%,91%,81%,94%,92%,88%,93%,-5,93%,90%,86%,91%,89%,88%,90%,80%,93%,88%,87%,90%,-3,92%,87%,85%,88%,93%,92%,94%,88%,95%,93%,90%,95%,-5,94%,91%,88%,93%,79%,70%,72%,77%,68%,58%,65%,21%,16%,16%,20%,7%,34%,34%,34%,66%,66%,66%,2%
373,KS2,2015,43058,20%,57%,23%,36%,64%,19%,93%,7%,90%,90%,89%,78%,94%,92%,87%,92%,-5,88%,89%,85%,91%,90%,89%,91%,79%,95%,91%,87%,92%,-5,87%,89%,84%,91%,94%,93%,95%,87%,97%,98%,91%,96%,-5,91%,93%,90%,95%,78%,72%,72%,76%,67%,59%,64%,23%,17%,19%,22%,8%,32%,33%,33%,68%,67%,67%,3%
380,KS2,2015,60610,22%,60%,17%,39%,61%,43%,94%,6%,89%,90%,89%,75%,93%,94%,86%,91%,-5,89%,88%,85%,90%,89%,89%,90%,77%,93%,92%,86%,92%,-6,88%,88%,85%,90%,95%,94%,96%,87%,97%,97%,93%,96%,-3,94%,93%,92%,94%,76%,70%,69%,73%,62%,54%,59%,17%,14%,16%,17%,8%,37%,39%,39%,63%,61%,61%,2%
381,KS2,2015,19629,18%,59%,23%,31%,69%,16%,95%,3%,92%,93%,92%,80%,95%,96%,89%,94%,-5,93%,92%,89%,93%,93%,92%,94%,84%,97%,92%,91%,94%,-3,94%,92%,90%,93%,95%,94%,97%,91%,96%,97%,92%,97%,-5,97%,94%,91%,95%,81%,77%,77%,79%,73%,66%,68%,26%,21%,21%,25%,6%,28%,31%,31%,72%,69%,69%,3%
382,KS2,2015,34978,15%,58%,26%,30%,70%,27%,88%,4%,88%,90%,86%,71%,91%,91%,83%,90%,-7,90%,87%,82%,89%,88%,87%,89%,73%,92%,88%,84%,90%,-6,87%,87%,82%,89%,91%,90%,93%,83%,93%,93%,88%,93%,-5,93%,90%,87%,92%,78%,72%,74%,78%,66%,61%,65%,21%,17%,19%,20%,7%,28%,30%,30%,72%,70%,70%,3%
383,KS2,2015,69781,20%,63%,16%,37%,63%,17%,94%,6%,91%,92%,89%,79%,93%,97%,86%,93%,-7,92%,91%,86%,93%,92%,92%,93%,82%,95%,95%,89%,94%,-5,92%,92%,88%,94%,95%,95%,96%,90%,97%,99%,93%,97%,-4,95%,95%,92%,96%,78%,73%,74%,76%,66%,61%,64%,22%,18%,19%,22%,7%,34%,35%,35%,66%,65%,65%,1%
384,KS2,2015,27741,20%,60%,20%,33%,67%,7%,94%,3%,88%,87%,88%,74%,91%,91%,80%,91%,-11,89%,88%,81%,92%,88%,87%,90%,75%,93%,89%,82%,91%,-9,90%,88%,83%,91%,93%,92%,95%,87%,95%,95%,90%,95%,-5,92%,92%,88%,94%,77%,70%,71%,74%,65%,59%,63%,21%,17%,20%,20%,7%,29%,32%,32%,71%,68%,68%,2%
390,KS2,2015,15884,18%,62%,20%,37%,63%,5%,95%,3%,92%,91%,93%,82%,94%,96%,89%,94%,-5,94%,92%,89%,94%,92%,90%,94%,82%,95%,93%,90%,94%,-4,94%,93%,90%,94%,95%,93%,97%,90%,96%,97%,93%,96%,-3,97%,95%,93%,96%,82%,77%,80%,80%,72%,69%,68%,25%,22%,24%,25%,5%,35%,36%,36%,65%,64%,64%,1%
391,KS2,2015,21014,20%,61%,19%,44%,56%,22%,93%,5%,92%,93%,92%,82%,95%,94%,91%,93%,-2,94%,92%,90%,94%,93%,92%,94%,86%,96%,95%,92%,94%,-2,92%,92%,90%,93%,95%,94%,96%,89%,97%,97%,94%,96%,-2,95%,94%,93%,95%,79%,75%,76%,80%,68%,64%,67%,24%,19%,22%,22%,6%,42%,43%,43%,58%,57%,57%,2%
392,KS2,2015,17341,17%,59%,24%,34%,66%,4%,94%,10%,90%,92%,89%,78%,93%,91%,86%,92%,-6,82%,91%,89%,93%,93%,92%,93%,84%,96%,92%,91%,94%,-3,88%,92%,90%,93%,95%,94%,97%,90%,96%,98%,94%,96%,-2,94%,94%,92%,95%,82%,76%,79%,80%,71%,67%,69%,25%,18%,21%,22%,5%,31%,33%,33%,69%,67%,67%,4%
393,KS2,2015,11926,20%,61%,19%,43%,57%,5%,93%,5%,92%,92%,91%,80%,94%,95%,90%,93%,-3,94%,91%,88%,92%,92%,93%,90%,82%,96%,89%,89%,94%,-5,93%,92%,90%,93%,96%,96%,96%,91%,98%,98%,95%,97%,-2,94%,94%,93%,95%,82%,74%,79%,75%,72%,65%,65%,24%,19%,21%,19%,6%,41%,40%,40%,59%,60%,60%,3%
394,KS2,2015,23192,18%,60%,22%,39%,61%,5%,95%,7%,92%,92%,92%,80%,95%,95%,90%,94%,-4,93%,92%,89%,93%,94%,93%,95%,85%,97%,94%,91%,96%,-5,90%,93%,91%,94%,95%,94%,98%,88%,97%,97%,93%,97%,-4,93%,95%,93%,96%,83%,77%,76%,79%,73%,65%,69%,25%,20%,21%,23%,5%,37%,39%,39%,63%,61%,61%,2%
420,KS2,2015,274,23%,38%,38%,4%,96%,0%,96%,0%,85%,82%,89%,83%,90%,80%,,,,,89%,,,85%,88%,78%,67%,90%,90%,,,,,84%,,,92%,94%,89%,83%,100%,90%,,,,,89%,,,69%,77%,83%,81%,58%,83%,67%,23%,23%,50%,10%,8%,0%,6%,6%,100%,94%,94%,0%
800,KS2,2015,11744,12%,54%,35%,20%,80%,4%,94%,6%,88%,90%,85%,69%,90%,90%,80%,90%,-10,91%,88%,82%,90%,90%,89%,91%,71%,94%,91%,82%,92%,-10,93%,90%,83%,92%,92%,91%,93%,77%,94%,94%,87%,93%,-6,96%,92%,86%,93%,83%,78%,79%,83%,73%,67%,74%,25%,22%,25%,26%,5%,19%,22%,22%,81%,78%,78%,3%
801,KS2,2015,34312,20%,58%,22%,39%,61%,18%,93%,6%,89%,88%,89%,73%,92%,93%,84%,92%,-8,87%,89%,84%,92%,90%,88%,92%,78%,93%,93%,87%,92%,-5,90%,90%,85%,92%,94%,92%,96%,86%,95%,97%,90%,96%,-6,96%,93%,89%,95%,78%,74%,76%,76%,66%,63%,62%,23%,21%,22%,21%,7%,36%,38%,38%,64%,62%,62%,4%
802,KS2,2015,14894,16%,57%,27%,24%,76%,4%,94%,4%,90%,90%,90%,77%,92%,94%,86%,91%,-5,89%,90%,86%,91%,93%,92%,94%,82%,97%,92%,91%,94%,-3,97%,92%,89%,92%,95%,94%,96%,87%,96%,96%,93%,95%,-2,98%,93%,92%,94%,83%,74%,77%,81%,73%,64%,70%,23%,20%,19%,22%,4%,22%,22%,22%,78%,78%,78%,2%
803,KS2,2015,21582,16%,60%,23%,20%,80%,5%,93%,6%,91%,91%,90%,77%,93%,94%,85%,92%,-7,94%,90%,84%,91%,93%,92%,94%,80%,96%,95%,90%,94%,-4,95%,91%,87%,92%,95%,93%,96%,86%,96%,97%,90%,96%,-6,96%,93%,88%,94%,81%,76%,76%,80%,71%,64%,67%,22%,20%,20%,22%,5%,17%,20%,20%,83%,80%,80%,3%
805,KS2,2015,9453,23%,57%,20%,47%,53%,4%,95%,6%,92%,93%,92%,84%,95%,95%,89%,95%,-6,93%,93%,90%,95%,92%,92%,92%,88%,95%,89%,89%,94%,-5,90%,92%,89%,94%,96%,95%,98%,93%,98%,97%,95%,98%,-3,93%,96%,94%,96%,83%,77%,80%,80%,70%,66%,68%,22%,21%,21%,22%,5%,40%,40%,40%,60%,60%,60%,2%
806,KS2,2015,15338,24%,60%,16%,51%,49%,15%,94%,5%,91%,92%,91%,83%,94%,95%,88%,95%,-7,87%,91%,89%,94%,91%,90%,92%,82%,95%,93%,89%,93%,-4,84%,90%,87%,93%,96%,95%,96%,91%,97%,96%,95%,97%,-2,93%,94%,92%,96%,79%,72%,76%,78%,67%,60%,66%,21%,17%,18%,21%,7%,46%,47%,47%,54%,53%,53%,3%
807,KS2,2015,13289,21%,65%,14%,40%,60%,1%,94%,7%,96%,96%,96%,85%,98%,100%,94%,97%,-3,100%,94%,92%,96%,95%,95%,95%,89%,97%,96%,94%,96%,-2,100%,94%,92%,95%,98%,97%,98%,91%,99%,100%,97%,98%,-1,100%,95%,93%,97%,87%,76%,80%,83%,77%,69%,72%,28%,19%,22%,25%,3%,36%,38%,38%,64%,62%,62%,3%
808,KS2,2015,19152,20%,58%,22%,36%,64%,5%,92%,5%,92%,93%,90%,76%,95%,96%,88%,94%,-6,96%,91%,87%,94%,92%,92%,92%,78%,96%,94%,89%,93%,-4,92%,91%,86%,93%,93%,92%,94%,84%,96%,94%,93%,93%,0,92%,93%,91%,94%,80%,76%,78%,80%,69%,66%,69%,22%,21%,21%,24%,6%,32%,32%,32%,68%,68%,68%,3%
810,KS2,2015,24900,23%,59%,18%,49%,51%,10%,93%,5%,92%,92%,91%,81%,95%,94%,89%,94%,-5,95%,90%,88%,92%,92%,92%,93%,83%,96%,93%,90%,95%,-5,95%,91%,89%,93%,96%,94%,97%,89%,98%,99%,94%,97%,-3,98%,95%,93%,96%,81%,67%,71%,75%,67%,57%,61%,20%,12%,15%,20%,6%,46%,49%,49%,54%,51%,51%,2%
811,KS2,2015,24241,16%,60%,24%,24%,76%,2%,93%,3%,91%,92%,90%,76%,93%,94%,86%,92%,-6,96%,90%,85%,91%,92%,91%,92%,76%,95%,93%,87%,93%,-6,96%,91%,87%,92%,95%,93%,97%,89%,96%,97%,93%,96%,-3,94%,95%,91%,96%,81%,76%,77%,80%,71%,65%,68%,24%,19%,22%,23%,5%,19%,22%,22%,81%,78%,78%,2%
812,KS2,2015,13799,24%,58%,18%,39%,61%,3%,91%,4%,90%,89%,91%,77%,94%,95%,86%,93%,-7,85%,90%,86%,93%,89%,88%,90%,76%,94%,90%,84%,92%,-8,92%,88%,83%,91%,95%,93%,97%,89%,97%,98%,93%,96%,-3,93%,93%,90%,95%,77%,69%,70%,75%,63%,56%,60%,19%,16%,15%,17%,7%,35%,35%,35%,65%,65%,65%,2%
813,KS2,2015,13218,20%,59%,21%,33%,67%,7%,93%,5%,89%,91%,88%,80%,91%,91%,85%,91%,-6,96%,88%,81%,91%,90%,90%,91%,78%,95%,90%,87%,92%,-5,92%,89%,84%,91%,96%,95%,96%,91%,96%,98%,94%,97%,-3,97%,93%,89%,95%,79%,70%,71%,75%,67%,58%,63%,21%,17%,17%,21%,7%,28%,31%,31%,72%,69%,69%,4%
815,KS2,2015,43360,17%,59%,24%,21%,79%,3%,91%,5%,87%,88%,87%,70%,90%,93%,78%,90%,-12,96%,87%,78%,89%,91%,90%,93%,79%,95%,92%,85%,93%,-8,91%,90%,83%,91%,94%,93%,95%,89%,96%,96%,91%,95%,-4,96%,93%,89%,94%,79%,75%,73%,77%,67%,61%,65%,23%,21%,21%,23%,6%,18%,20%,20%,82%,80%,80%,2%
816,KS2,2015,13817,14%,62%,23%,21%,79%,6%,94%,2%,89%,90%,88%,72%,92%,92%,81%,91%,-10,95%,89%,80%,91%,92%,92%,92%,74%,95%,94%,86%,93%,-7,92%,90%,84%,92%,94%,93%,95%,89%,95%,95%,88%,96%,-8,99%,92%,87%,93%,81%,76%,77%,79%,68%,66%,69%,24%,23%,25%,25%,6%,19%,19%,19%,81%,81%,81%,1%
821,KS2,2015,19571,20%,57%,23%,38%,62%,51%,92%,5%,85%,86%,85%,71%,89%,88%,83%,87%,-4,86%,85%,83%,87%,87%,85%,88%,76%,91%,85%,86%,88%,-2,86%,86%,85%,86%,93%,91%,95%,87%,95%,94%,92%,94%,-2,93%,90%,89%,91%,75%,71%,68%,73%,62%,55%,60%,17%,15%,15%,18%,8%,35%,38%,38%,65%,62%,62%,3%
822,KS2,2015,9822,16%,57%,28%,30%,70%,24%,92%,4%,85%,86%,83%,68%,87%,90%,78%,88%,-10,89%,84%,77%,87%,89%,87%,90%,77%,92%,89%,83%,91%,-8,91%,86%,82%,87%,94%,93%,95%,83%,96%,95%,90%,95%,-5,96%,91%,88%,92%,74%,72%,73%,74%,63%,59%,61%,21%,15%,18%,19%,6%,27%,26%,26%,73%,74%,74%,3%
823,KS2,2015,14158,13%,55%,33%,23%,77%,4%,92%,5%,83%,85%,82%,63%,86%,87%,73%,87%,-14,81%,83%,74%,85%,87%,86%,87%,67%,91%,87%,78%,89%,-11,86%,85%,78%,87%,92%,90%,95%,82%,93%,94%,87%,94%,-7,94%,90%,84%,91%,77%,75%,71%,77%,66%,59%,64%,22%,22%,19%,23%,5%,18%,20%,20%,82%,80%,80%,3%
825,KS2,2015,38202,14%,53%,33%,16%,84%,17%,94%,5%,90%,91%,90%,71%,92%,96%,81%,92%,-11,90%,90%,82%,91%,92%,91%,93%,79%,94%,94%,84%,94%,-10,91%,92%,85%,93%,94%,93%,95%,86%,95%,96%,89%,95%,-6,92%,92%,88%,93%,83%,79%,80%,80%,73%,70%,72%,30%,26%,27%,30%,5%,14%,14%,14%,86%,86%,86%,4%
826,KS2,2015,21695,16%,59%,25%,30%,70%,25%,90%,5%,90%,91%,89%,76%,93%,94%,86%,92%,-6,92%,90%,86%,91%,91%,91%,91%,78%,95%,91%,88%,92%,-4,91%,90%,87%,91%,93%,92%,94%,85%,95%,94%,91%,94%,-3,95%,92%,90%,93%,80%,75%,77%,79%,70%,65%,68%,24%,20%,22%,25%,5%,29%,29%,29%,71%,71%,71%,3%
830,KS2,2015,51464,13%,56%,30%,28%,72%,2%,94%,6%,89%,89%,88%,74%,91%,91%,83%,91%,-8,91%,88%,83%,90%,90%,90%,90%,77%,94%,90%,86%,92%,-6,94%,89%,85%,91%,94%,92%,96%,88%,95%,96%,91%,95%,-4,96%,93%,88%,94%,82%,78%,78%,81%,71%,66%,71%,26%,23%,23%,26%,5%,25%,26%,26%,75%,74%,74%,3%
831,KS2,2015,19968,19%,59%,23%,37%,63%,20%,92%,3%,89%,91%,88%,76%,92%,93%,85%,92%,-7,89%,89%,84%,92%,90%,89%,92%,76%,95%,92%,86%,93%,-7,89%,89%,84%,92%,93%,92%,94%,87%,95%,94%,90%,95%,-5,93%,91%,87%,93%,77%,70%,72%,77%,65%,60%,65%,21%,18%,19%,21%,8%,33%,36%,36%,67%,64%,64%,2%
835,KS2,2015,24682,14%,56%,30%,22%,78%,2%,91%,4%,85%,86%,84%,67%,87%,90%,79%,87%,-8,94%,84%,77%,86%,89%,87%,91%,72%,91%,91%,85%,90%,-5,91%,88%,83%,89%,92%,90%,94%,82%,94%,94%,90%,93%,-3,99%,90%,86%,92%,78%,74%,75%,77%,66%,62%,65%,23%,21%,22%,22%,6%,17%,19%,19%,83%,81%,81%,2%
836,KS2,2015,6913,16%,52%,31%,26%,74%,6%,93%,4%,80%,81%,79%,63%,83%,85%,75%,82%,-7,90%,80%,74%,82%,85%,82%,88%,67%,90%,86%,82%,86%,-4,96%,85%,80%,87%,88%,85%,90%,79%,91%,87%,85%,89%,-4,93%,84%,79%,86%,73%,71%,63%,72%,60%,52%,62%,20%,20%,15%,21%,8%,24%,24%,24%,76%,76%,76%,2%
